trial_id,p,r,l,time_total_s,config.clahe,config.normalize,config.blur,config.thresh
16881_00025,44.61546884456943,45.00298580962721,1.265045166015625,1.0826663970947266,True,,5.0,108
16881_00051,45.14807124873788,43.94433095764242,1.30731201171875,1.0064024925231934,True,,3.0,102
16881_00064,44.91626568245881,44.15351189300781,1.321319580078125,1.0166113376617432,False,,,110
16881_00050,43.55658544863821,45.84136547766901,1.327178955078125,1.0273711681365967,True,,3.0,112
16881_00026,43.37759734446823,45.99582516330768,1.337615966796875,1.0096242427825928,True,,3.0,113
16881_00010,42.67621421694826,46.570866900896036,1.38568115234375,1.0445547103881836,True,,3.0,117
16881_00069,44.377982647778936,44.09094027256039,1.39996337890625,1.1669728755950928,False,,7.0,119
16881_00082,41.32984439598352,47.82375327419982,1.481781005859375,1.0990760326385498,True,,5.0,127
16881_00015,47.00213266344348,40.015267585351374,1.52069091796875,1.0409393310546875,True,,3.0,88
16881_00087,42.23645210156462,45.86783471593519,1.529815673828125,1.3086609840393066,True,32.0,5.0,219
16881_00041,42.23645210156462,45.86783471593519,1.529815673828125,1.1331751346588135,True,4.0,5.0,188
16881_00037,42.23645210156462,45.86783471593519,1.529815673828125,1.1085195541381836,True,4.0,5.0,163
16881_00063,42.23645210156462,45.86783471593519,1.529815673828125,1.1129424571990967,True,4.0,5.0,214
16881_00075,42.23645210156462,45.86783471593519,1.529815673828125,1.1593360900878906,False,32.0,5.0,170
16881_00008,42.23645210156462,45.86783471593519,1.529815673828125,1.0279715061187744,False,32.0,5.0,170
16881_00020,42.23645210156462,45.86783471593519,1.529815673828125,1.0386877059936523,False,32.0,5.0,236
16881_00062,42.24170678987552,45.855528614422546,1.53009033203125,1.1103227138519287,True,32.0,5.0,41
16881_00035,42.24170678987552,45.855528614422546,1.53009033203125,1.174391508102417,False,32.0,5.0,118
16881_00067,42.24170678987552,45.855528614422546,1.53009033203125,1.1121699810028076,False,4.0,5.0,76
16881_00074,42.24170678987552,45.855528614422546,1.53009033203125,1.120121955871582,True,32.0,5.0,126
16881_00007,42.24170678987552,45.855528614422546,1.53009033203125,1.032773733139038,False,4.0,5.0,76
16881_00096,42.24170678987552,45.855528614422546,1.53009033203125,0.9073219299316406,False,4.0,5.0,56
16881_00016,42.24170678987552,45.855528614422546,1.53009033203125,1.053074836730957,True,32.0,5.0,80
16881_00097,42.24170678987552,45.855528614422546,1.53009033203125,0.75620436668396,False,32.0,5.0,86
16881_00092,41.79857415704278,45.91768915051193,1.59375,1.155261754989624,True,32.0,3.0,12
16881_00084,41.79857415704278,45.91768915051193,1.59375,1.141862392425537,False,32.0,3.0,50
16881_00095,41.79857415704278,45.91768915051193,1.59375,0.9936349391937256,True,32.0,3.0,99
16881_00013,41.79857415704278,45.91768915051193,1.59375,1.0181021690368652,True,32.0,3.0,125
16881_00088,41.79857415704278,45.91768915051193,1.59375,1.4497959613800049,True,4.0,3.0,54
16881_00093,41.79857415704278,45.91768915051193,1.59375,1.142676830291748,True,32.0,3.0,75
16881_00004,41.79857415704278,45.91768915051193,1.59375,0.9950792789459229,False,4.0,3.0,43
16881_00033,41.776952681696976,45.93123440683166,1.59619140625,1.1687650680541992,True,4.0,3.0,216
16881_00022,41.776952681696976,45.93123440683166,1.59619140625,1.0683953762054443,True,32.0,3.0,192
16881_00070,41.776952681696976,45.93123440683166,1.59619140625,1.0321929454803467,True,32.0,3.0,204
16881_00060,41.776952681696976,45.93123440683166,1.59619140625,1.4728825092315674,False,4.0,3.0,214
16881_00023,41.776952681696976,45.93123440683166,1.59619140625,1.1532716751098633,True,4.0,3.0,148
16881_00034,40.323195891133615,48.42829694732852,1.602294921875,1.1067814826965332,False,,5.0,143
16881_00089,42.40971878454754,44.7695704374262,1.61297607421875,1.223494052886963,True,32.0,7.0,112
16881_00098,42.40971878454754,44.7695704374262,1.61297607421875,0.7783403396606445,True,4.0,7.0,116
16881_00080,42.40971878454754,44.7695704374262,1.61297607421875,1.151904821395874,True,4.0,7.0,96
16881_00045,42.40971878454754,44.7695704374262,1.61297607421875,1.062060832977295,False,32.0,7.0,29
16881_00079,42.40971878454754,44.7695704374262,1.61297607421875,1.2256433963775635,False,4.0,7.0,92
16881_00057,42.40971878454754,44.7695704374262,1.61297607421875,1.065948486328125,False,4.0,7.0,78
16881_00059,42.40971878454754,44.7695704374262,1.61297607421875,1.2694180011749268,True,4.0,7.0,108
16881_00039,42.40971878454754,44.7695704374262,1.61297607421875,1.0935814380645752,True,4.0,7.0,97
